Condition 1:

[57, 89, 75, 56, 33, 88, 31, 37, 46, 50]
[3, 63, 77, 81, 71, 7, 54, 30, 67, 99]
[76, 13, 2, 59, 93, 82, 72, 23, 32, 40]
[6, 87, 10, 22, 91, 98, 80, 4, 53, 51]
[26, 38, 52, 5, 86, 84, 17, 100, 11, 58]
[12, 47, 18, 44, 39, 90, 74, 65, 85, 96]
[1, 70, 36, 21, 15, 55, 48, 68, 19, 8]
[83, 16, 61, 42, 94, 97, 9, 45, 69, 73]
[79, 64, 20, 29, 14, 41, 28, 49, 92, 95]
[66, 60, 25, 78, 24, 34, 35, 27, 43, 62]
    
Condition 2:

[27, 86, 7, 65, 71, 32, 22, 59, 96, 20]
[34, 21, 1, 8, 74, 69, 56, 63, 14, 91]
[3, 93, 28, 81, 55, 49, 90, 29, 24, 79]
[72, 47, 12, 44, 54, 82, 78, 95, 98, 85]
[99, 13, 31, 25, 52, 2, 19, 5, 48, 35]
[18, 30, 26, 42, 53, 37, 94, 45, 36, 88]
[83, 16, 87, 50, 41, 70, 10, 61, 67, 33]
[73, 62, 51, 23, 11, 6, 17, 57, 97, 80]
[15, 76, 66, 64, 77, 60, 40, 4, 89, 84]
[43, 75, 46, 58, 100, 9, 92, 39, 38, 68]

Condition 3:

[97, 67, 43, 30, 84, 16, 91, 61, 34, 78]
[98, 69, 19, 26, 13, 29, 9, 1, 45, 68]
[74, 53, 49, 37, 22, 35, 71, 87, 2, 89]
[24, 54, 63, 95, 7, 44, 70, 100, 48, 81]
[28, 96, 66, 85, 6, 82, 58, 90, 50, 80]
[52, 46, 86, 10, 8, 33, 64, 94, 14, 73]
[77, 18, 92, 11, 15, 76, 25, 62, 65, 5]
[4, 20, 31, 51, 12, 23, 75, 57, 38, 36]
[59, 3, 17, 42, 88, 40, 55, 72, 79, 83]
[56, 21, 32, 93, 99, 27, 39, 47, 60, 41]

Condition 4: 

[75, 81, 8, 66, 57, 69, 62, 45, 36, 97]
[38, 18, 53, 27, 42, 3, 59, 85, 13, 93]
[22, 87, 89, 11, 94, 34, 77, 37, 1, 52]
[19, 33, 32, 58, 79, 51, 98, 21, 70, 28]
[23, 4, 30, 55, 90, 35, 78, 84, 25, 7]
[50, 100, 29, 91, 61, 26, 10, 41, 14, 65]
[92, 63, 6, 44, 96, 12, 67, 99, 88, 49]
[48, 60, 71, 95, 40, 20, 9, 64, 15, 5]
[16, 24, 46, 31, 86, 68, 73, 56, 80, 72]
[43, 39, 2, 76, 83, 17, 82, 47, 74, 54]

Condition 5:

[70, 95, 14, 48, 91, 78, 27, 66, 43, 22]
[39, 63, 72, 13, 60, 99, 93, 2, 68, 42]
[21, 61, 90, 86, 33, 46, 51, 29, 11, 38]
[15, 20, 77, 76, 92, 59, 54, 100, 50, 31]
[74, 64, 8, 9, 16, 80, 3, 69, 96, 67]
[57, 83, 44, 55, 85, 34, 7, 37, 89, 23]
[75, 40, 58, 62, 84, 98, 32, 53, 4, 12]
[73, 35, 1, 41, 10, 94, 18, 52, 6, 79]
[28, 19, 36, 24, 45, 56, 30, 71, 87, 82]
[47, 49, 26, 17, 88, 97, 25, 65, 81, 5]

Condition 6:

[31, 67, 75, 72, 18, 88, 93, 55, 27, 10]
[64, 19, 83, 68, 59, 77, 9, 22, 14, 53]
[36, 54, 41, 21, 4, 39, 7, 52, 97, 89]
[24, 49, 3, 61, 98, 13, 81, 58, 95, 80]
[42, 38, 74, 94, 90, 6, 86, 11, 46, 62]
[29, 8, 82, 51, 87, 99, 63, 60, 76, 28]
[78, 91, 45, 85, 37, 73, 57, 5, 69, 30]
[12, 96, 34, 2, 20, 15, 32, 26, 79, 40]
[44, 50, 16, 33, 17, 25, 47, 66, 71, 23]
[48, 84, 70, 56, 1, 65, 35, 92, 100, 43]

Condition 7:

[47, 19, 98, 56, 83, 79, 11, 89, 37, 35]
[88, 7, 78, 55, 39, 90, 17, 67, 72, 31]
[59, 70, 8, 12, 53, 66, 4, 42, 100, 24]
[32, 1, 95, 26, 87, 77, 33, 48, 20, 22]
[16, 84, 60, 2, 63, 21, 69, 52, 30, 38]
[99, 96, 54, 28, 75, 62, 86, 5, 10, 80]
[36, 23, 13, 43, 18, 49, 65, 64, 27, 45]
[93, 51, 81, 68, 73, 46, 15, 91, 29, 3]
[92, 6, 71, 25, 82, 76, 44, 97, 9, 40]
[34, 58, 61, 50, 14, 85, 94, 57, 41, 74]

Condition 8:

[78, 44, 49, 69, 91, 29, 97, 9, 48, 63]
[1, 40, 35, 60, 11, 46, 92, 62, 25, 5]
[64, 7, 36, 43, 31, 86, 71, 94, 76, 57]
[16, 96, 27, 56, 100, 90, 32, 20, 66, 84]
[85, 8, 74, 79, 61, 68, 23, 58, 2, 83]
[21, 10, 45, 13, 77, 4, 59, 70, 51, 42]
[12, 3, 41, 67, 38, 24, 19, 87, 50, 47]
[72, 15, 73, 95, 98, 28, 52, 54, 88, 82]
[22, 6, 81, 30, 53, 17, 14, 99, 39, 93]
[34, 75, 18, 37, 26, 80, 33, 65, 89, 55]
